Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
APC,M9,4,6.90E+04,2.07E+06,cnt,3,2
APC,M9,7,3.00E+04,9.00E+05,cnt,3,2
FSL R9-5272,MidLog,Inoculum,2.98E+08,8.94E+07,cnt,1,5
FSL R9-5400,MidLog,Inoculum,2.62E+08,7.86E+07,cnt,1,5
FSL R9-5502,MidLog,Inoculum,2.72E+08,8.16E+07,cnt,1,5
FSL R9-5344,MidLog,Inoculum,2.51E+08,7.53E+07,cnt,1,5
FSL R9-6232,MidLog,Inoculum,2.31E+08,6.93E+07,cnt,1,5
FSL R9-5272,MidLog,0,2.35E+04,7.05E+05,cnt,1,2
FSL R9-5400,MidLog,0,4.09E+03,1.23E+05,cnt,1,2
FSL R9-5502,MidLog,0,1.43E+04,4.29E+05,cnt,1,2
FSL R9-5344,MidLog,0,1.02E+03,3.06E+04,cnt,1,2
FSL R9-6232,MidLog,0,6.14E+03,1.84E+05,cnt,1,2
FSL R9-5272,MidLog,1,2.04E+01,6.12E+02,cnt,1,0
FSL R9-5400,MidLog,1,8.68E+02,2.60E+04,cnt,1,0
FSL R9-5502,MidLog,1,0.00E+00,,no_growth,1,0
FSL R9-5344,MidLog,1,1.02E+01,3.06E+02,cnt,1,0
FSL R9-6232,MidLog,1,0.00E+00,,no_growth,1,0
FSL R9-5272,MidLog,3,0.00E+00,,no_growth,1,1
FSL R9-5400,MidLog,3,0.00E+00,,no_growth,1,0
FSL R9-5502,MidLog,3,0.00E+00,,no_growth,1,0
FSL R9-5344,MidLog,3,1.58E+03,4.74E+04,cnt,1,0
FSL R9-6232,MidLog,3,0.00E+00,,no_growth,1,0
FSL R9-5272,MidLog,4,0.00E+00,,no_growth,1,0
FSL R9-5400,MidLog,4,4.60E+02,1.38E+04,cnt,1,0
FSL R9-5502,MidLog,4,0.00E+00,,no_growth,1,0
FSL R9-5344,MidLog,4,1.74E+06,5.22E+07,cnt,1,1
FSL R9-6232,MidLog,4,7.00E+01,2.10E+03,cnt,1,0
FSL R9-5272,MidLog,7,9.19E+01,2.76E+03,cnt,1,0
FSL R9-5400,MidLog,7,0.00E+00,,no_growth,1,0
FSL R9-5502,MidLog,7,8.20E+01,2.46E+03,cnt,1,0
FSL R9-5344,MidLog,7,1.02E+02,3.06E+03,cnt,1,1
FSL R9-6232,MidLog,7,0.00E+00,,no_growth,1,0
APC,MidLog,0,1.40E+04,4.20E+05,cnt,1,1
APC,MidLog,1,7.26E+03,2.18E+05,cnt,1,1
APC,MidLog,3,4.50E+03,1.35E+05,cnt,1,1
APC,MidLog,4,7.15E+03,2.15E+05,cnt,1,2
APC,MidLog,7,2.49E+04,7.47E+05,cnt,1,1
FSL R9-5272,MidLog,Inoculum,4.70E+07,1.41E+07,cnt,2,5
FSL R9-5400,MidLog,Inoculum,4.40E+07,1.32E+07,cnt,2,5
FSL R9-5502,MidLog,Inoculum,1.38E+08,4.14E+07,cnt,2,5
FSL R9-5344,MidLog,Inoculum,5.83E+07,1.75E+07,cnt,2,5
FSL R9-6232,MidLog,Inoculum,1.04E+08,3.12E+07,cnt,2,5
FSL R9-5272,MidLog,0,6.95E+02,2.09E+04,cnt,2,0
